tiempo_ms,temperatura_c,presion_hpa,densidad_kg_m3
902670,18.01,1019.84,1.2202330393362673
910334,17.96,1019.82,1.2204186881449284
917999,17.93,1019.8,1.2205205334567562
925675,17.93,1019.8,1.2205205334567562
933307,17.99,1019.81,1.2202809665186212
940976,18.15,1019.79,1.2195867942497558
948649,18.21,1019.75,1.219287816825916
956335,18.26,1019.8,1.2191383853628652
964012,18.3,1019.81,1.218983017986726
971659,18.34,1019.81,1.218815741851286
977788,18.05,1019.81,1.2200295350007944
985476,17.88,1019.7,1.2206105203663031
993199,17.78,1019.71,1.2210420494821572
1001000,17.68,1019.67,1.2214139827434893
1008878,17.61,1019.75,1.2218038874343062
1016677,17.51,1019.69,1.2221523292801433
1024526,17.51,1019.77,1.2222482135060773
1032288,17.57,1019.68,1.2218881133562456
1040135,17.46,1019.72,1.2223985656704268
1047954,17.37,1019.77,1.2228372082392824
1055762,17.44,1019.77,1.2225426399314374
1063542,17.38,1019.7,1.2227111821230345
1071323,17.18,1019.72,1.2235774710484024
1079146,17.38,1019.69,1.2226991912317713
1086970,17.76,1019.71,1.2211259958607266
1094791,18.35,1019.7,1.218642469098474
1102627,21.06,1019.69,1.2074055811446467
1110422,20.57,1019.72,1.2094554241096374
1118246,20.19,1019.67,1.2109628028952375
1126090,20.09,1019.67,1.2113757625197417
1133889,20.28,1019.68,1.2106032522745724
1141729,20.63,1019.64,1.2091135457157491
1149544,20.63,1019.65,1.2091254039553798
1157385,21.46,1019.7,1.205778078619888
1165232,21.46,1019.68,1.2057544289566808
1173122,21.32,1019.68,1.2063276813085466
1180975,23.43,1019.68,1.19774533790184
1188832,24.01,1019.69,1.1954192893679045
1196691,23.96,1019.68,1.195608738564598
1204513,24.73,1019.67,1.1925064744235565
