tiempo_ms,tiempo_s,temperatura_c,temperatura_k,presion_hpa,densidad_kg_m3,altitud_estimada_m
224894,224.894,20.83,293.97999999999996,1019.83,1.2085161168089966,-54.61066559840112
225038,225.038,20.82,293.96999999999997,1019.8,1.2085216752681995,-54.362329138342396
225181,225.181,20.82,293.96999999999997,1019.82,1.2085453764189205,-54.52788743570794
225324,225.324,20.82,293.96999999999997,1019.81,1.2085335258435599,-54.4451086156818
225468,225.468,20.82,293.96999999999997,1019.82,1.2085453764189205,-54.52788743570794
225611,225.611,20.82,293.96999999999997,1019.82,1.2085453764189205,-54.52788743570794
225790,225.79,20.82,293.96999999999997,1019.81,1.2085335258435599,-54.4451086156818
225934,225.934,20.82,293.96999999999997,1019.81,1.2085335258435599,-54.4451086156818
226077,226.077,20.82,293.96999999999997,1019.77,1.2084861235421178,-54.113986762228045
226220,226.22,20.82,293.96999999999997,1019.78,1.2084979741174784,-54.19676821162536
226363,226.363,20.81,293.96,1019.81,1.208574638019565,-54.4451086156818
226506,226.506,20.83,293.97999999999996,1019.83,1.2085161168089966,-54.61066559840112
226650,226.65,20.84,293.98999999999995,1019.86,1.208510558727933,-54.85899614272905
226793,226.793,20.83,293.97999999999996,1019.82,1.2085042666367443,-54.52788743570794
226943,226.943,20.84,293.98999999999995,1019.84,1.20848685918959,-54.693443103800725
227087,227.087,20.86,294.01,1019.83,1.2083928030322397,-54.61066559840112
227229,227.229,20.88,294.03,1019.82,1.20829875967034,-54.52788743570794
227372,227.372,20.88,294.03,1019.8,1.208275063356095,-54.362329138342396
227516,227.516,20.88,294.03,1019.81,1.2082869115132175,-54.4451086156818
227659,227.659,20.89,294.03999999999996,1019.81,1.208245818909779,-54.4451086156818
227803,227.803,20.9,294.04999999999995,1019.82,1.2082165764525423,-54.52788743570794
227946,227.946,20.88,294.03,1019.82,1.20829875967034,-54.52788743570794
228089,228.089,20.88,294.03,1019.8,1.208275063356095,-54.362329138342396
228232,228.232,20.86,294.01,1019.82,1.2083809540691475,-54.52788743570794
228375,228.375,20.86,294.01,1019.8,1.208357256142963,-54.362329138342396
228518,228.518,20.88,294.03,1019.8,1.208275063356095,-54.362329138342396
228662,228.662,20.91,294.06,1019.82,1.2081754890358092,-54.52788743570794
228805,228.805,20.94,294.09,1019.77,1.2079930148514957,-54.113986762228045
228948,228.948,20.95,294.09999999999997,1019.8,1.207987476635813,-54.362329138342396
229099,229.099,20.96,294.10999999999996,1019.81,1.2079582489280587,-54.4451086156818
229241,229.241,20.96,294.10999999999996,1019.82,1.2079700938623987,-54.52788743570794
229385,229.385,20.96,294.10999999999996,1019.81,1.2079582489280587,-54.4451086156818
229528,229.528,20.97,294.12,1019.79,1.207893489612926,-54.2795490036602
229705,229.705,20.98,294.13,1019.81,1.2078761112169154,-54.4451086156818
229849,229.849,20.98,294.13,1019.78,1.2078405788301605,-54.19676821162536
229992,229.992,21.01,294.15999999999997,1019.76,1.2076937109873458,-54.031204655468244
230135,230.135,21.03,294.17999999999995,1019.79,1.2076471315689505,-54.2795490036602
230278,230.278,21.06,294.21,1019.78,1.207512149319585,-54.19676821162536
230421,230.421,21.09,294.23999999999995,1019.78,1.2073890342962044,-54.19676821162536
230564,230.564,21.12,294.27,1019.74,1.2072185903991577,-53.865638469762764
230708,230.708,21.18,294.33,1019.79,1.20703167589085,-54.2795490036602
230851,230.851,21.22,294.37,1019.77,1.2068439913635096,-54.113986762228045
230994,230.994,21.26,294.40999999999997,1019.85,1.2067746864807116,-54.776219951906754
231138,231.138,21.28,294.42999999999995,1019.81,1.2066453846151255,-54.4451086156818
231287,231.287,21.31,294.46,1019.82,1.2065342807371802,-54.52788743570794
231431,231.431,21.33,294.47999999999996,1019.83,1.2064641674120782,-54.61066559840112
231574,231.574,21.34,294.48999999999995,1019.83,1.2064231994957684,-54.61066559840112
231717,231.717,21.34,294.48999999999995,1019.79,1.2063758808956293,-54.2795490036602
231861,231.861,21.35,294.5,1019.8,1.2063467466166131,-54.362329138342396
232004,232.004,21.35,294.5,1019.8,1.2063467466166131,-54.362329138342396
232147,232.147,21.35,294.5,1019.8,1.2063467466166131,-54.362329138342396
232290,232.29,21.36,294.51,1019.81,1.206317614316089,-54.4451086156818
232433,232.433,21.36,294.51,1019.82,1.2063294431627791,-54.52788743570794
232576,232.576,21.35,294.5,1019.8,1.2063467466166131,-54.362329138342396
232720,232.72,21.35,294.5,1019.81,1.206358575864962,-54.4451086156818
232863,232.863,21.34,294.48999999999995,1019.82,1.2064113698457337,-54.52788743570794
233007,233.007,21.34,294.48999999999995,1019.82,1.2064113698457337,-54.52788743570794
233150,233.15,21.32,294.46999999999997,1019.82,1.2064933076573847,-54.52788743570794
233292,233.292,21.29,294.44,1019.86,1.2066635618816226,-54.85899614272905
233436,233.436,21.26,294.40999999999997,1019.82,1.2067391878871985,-54.52788743570794
233586,233.586,21.23,294.38,1019.83,1.2068739996586344,-54.61066559840112
233729,233.729,21.2,294.34999999999997,1019.82,1.2069851683569564,-54.52788743570794
233873,233.873,21.17,294.32,1019.81,1.2070963597181004,-54.4451086156818
234016,234.016,21.15,294.29999999999995,1019.79,1.2071547168364047,-54.2795490036602
234160,234.16,21.14,294.28999999999996,1019.81,1.2072194114384835,-54.4451086156818
234302,234.302,21.12,294.27,1019.8,1.2072896213633486,-54.362329138342396
234445,234.445,21.11,294.26,1019.8,1.2073306493529279,-54.362329138342396
234589,234.589,21.1,294.25,1019.81,1.207383519429843,-54.4451086156818
234732,234.732,21.09,294.23999999999995,1019.8,1.2074127136983164,-54.362329138342396
234910,234.91,21.08,294.22999999999996,1019.8,1.207453750054694,-54.362329138342396
235053,235.053,21.07,294.21999999999997,1019.78,1.2074711081888216,-54.19676821162536
235196,235.196,21.06,294.21,1019.8,1.207535831136238,-54.362329138342396
235339,235.339,21.05,294.2,1019.8,1.2075768758619734,-54.362329138342396
235483,235.483,21.04,294.19,1019.81,1.207629765091374,-54.4451086156818
235626,235.626,21.03,294.17999999999995,1019.81,1.2076708158006368,-54.4451086156818
235776,235.776,21.01,294.15999999999997,1019.79,1.207729239750319,-54.2795490036602
235920,235.92,21.0,294.15,1019.8,1.2077821413516663,-54.362329138342396
236063,236.063,20.99,294.14,1019.79,1.2078113590975517,-54.2795490036602
236205,236.205,20.98,294.13,1019.79,1.2078524229590788,-54.2795490036602
236349,236.349,20.98,294.13,1019.8,1.207864267087997,-54.362329138342396
236492,236.492,20.97,294.12,1019.79,1.207893489612926,-54.2795490036602
236636,236.636,20.97,294.12,1019.82,1.2079290232077724,-54.52788743570794
236779,236.779,20.96,294.10999999999996,1019.79,1.2079345590593789,-54.2795490036602
236922,236.922,20.95,294.09999999999997,1019.83,1.2080230126470888,-54.61066559840112
237065,237.065,20.95,294.09999999999997,1019.8,1.207987476635813,-54.362329138342396
237208,237.208,20.95,294.09999999999997,1019.8,1.207987476635813,-54.362329138342396
237351,237.351,20.94,294.09,1019.79,1.2080167063312384,-54.2795490036602
